,Onshore wind,Offshore wind,Solar,OCGT,CCGT
1979,6314.419134396356,0.0,2834.9710487908,2423.8557403189066,2856.067949886105
1985,6063.26359832636,0.0,3225.8883773043194,2334.2822175732213,3026.399037656904
1991,5950.185709377594,0.0,3535.721235265323,2666.830185709378,2881.937585778091
1995,6066.554455445545,0.0,3581.709445058947,2403.8582970297025,2803.4409504950495
1999,6071.480502411551,0.0,4267.308309891822,2500.073813641473,2805.255122242773
2005,5861.544647869079,0.0,4542.584632324367,2786.920701994905,2782.3430389913206
2010,5665.532852496587,0.0,4674.54559242345,2528.2458033231665,2906.083539626902
2013,5007.853211009175,0.0,5260.267993280786,2554.919179222122,3006.1073161907225
2015,5910.278159601932,0.0,3637.0557130756324,2589.186438907853,2831.59966685772
